datetime,1B-VAV3-DischargeAirflow
2021-08-21 09:30:00,106.01
2021-08-21 09:45:00,105.71
2021-08-21 10:00:00,105.82
2021-08-21 10:15:00,107.13
2021-08-21 10:30:00,105.14
2021-08-21 10:45:00,105.77
2021-08-21 11:00:00,105.88
2021-08-21 11:15:00,104.84
2021-08-21 11:30:00,106.25
2021-08-21 11:45:00,105.41
2021-08-21 12:00:00,103.06
2021-08-21 12:15:00,104.73
2021-08-21 12:30:00,104.93
2021-08-21 12:45:00,105.49
2021-08-21 13:00:00,100.24
2021-08-21 13:15:00,104.6
2021-08-21 13:30:00,98.82
2021-08-21 13:45:00,104.36
2021-08-21 14:00:00,106.53
2021-08-21 14:15:00,106.12
2021-08-21 14:30:00,105.0
2021-08-21 14:45:00,106.1
2021-08-21 15:00:00,106.07
2021-08-21 15:15:00,105.71
2021-08-21 15:30:00,106.74
2021-08-21 15:45:00,106.53
2021-08-21 16:00:00,106.16
2021-08-21 16:15:00,106.46
2021-08-21 16:30:00,105.02
2021-08-21 16:45:00,105.64
2021-08-21 17:00:00,104.78
2021-08-21 17:15:00,105.77
2021-08-21 17:30:00,104.89
2021-08-21 17:45:00,105.93
2021-08-21 18:00:00,105.75
2021-08-21 18:15:00,104.36
2021-08-21 18:30:00,107.51
2021-08-21 18:45:00,109.07
2021-08-21 19:00:00,103.15
2021-08-21 19:15:00,103.29
2021-08-21 19:30:00,105.28
2021-08-21 19:45:00,106.01
2021-08-21 20:00:00,106.59
2021-08-21 20:15:00,105.73
2021-08-21 20:30:00,105.32
2021-08-21 20:45:00,104.34
2021-08-21 21:00:00,105.13
2021-08-21 21:15:00,105.08
2021-08-21 21:30:00,105.25
2021-08-21 21:45:00,104.58
2021-08-21 22:00:00,81.28
2021-08-21 22:15:00,105.21
2021-08-21 22:30:00,106.82
2021-08-21 22:45:00,106.42
2021-08-21 23:00:00,106.07
2021-08-21 23:15:00,104.91
2021-08-21 23:30:00,105.52
2021-08-21 23:45:00,105.23
2021-08-22 00:00:00,106.27
2021-08-22 00:15:00,105.88
2021-08-22 00:30:00,105.52
2021-08-22 00:45:00,105.54
2021-08-22 01:00:00,106.48
2021-08-22 01:15:00,105.84
2021-08-22 01:30:00,107.21
2021-08-22 01:45:00,105.38
2021-08-22 02:00:00,106.38
2021-08-22 02:15:00,106.74
2021-08-22 02:30:00,106.14
2021-08-22 02:45:00,106.2
2021-08-22 03:00:00,105.38
2021-08-22 03:15:00,105.41
2021-08-22 03:30:00,105.49
2021-08-22 03:45:00,105.34
2021-08-22 04:00:00,105.41
2021-08-22 04:15:00,105.41
2021-08-22 04:30:00,105.25
2021-08-22 04:45:00,105.38
2021-08-22 05:00:00,105.56
2021-08-22 05:15:00,104.38
2021-08-22 05:30:00,105.84
2021-08-22 05:45:00,105.06
2021-08-22 06:00:00,104.64
2021-08-22 06:15:00,104.38
2021-08-22 06:30:00,105.93
2021-08-22 06:45:00,105.71
2021-08-22 07:00:00,104.64
2021-08-22 07:15:00,278.0
2021-08-22 07:30:00,403.0
2021-08-22 07:45:00,394.0
2021-08-22 08:00:00,242.0
2021-08-22 08:15:00,328.0
2021-08-22 08:30:00,80.63
2021-08-22 08:45:00,110.93
2021-08-22 09:00:00,97.49
2021-08-22 09:15:00,106.1
2021-08-22 09:30:00,104.58
2021-08-22 09:45:00,106.61
2021-08-22 10:00:00,105.88
2021-08-22 10:15:00,106.48
2021-08-22 10:30:00,105.86
2021-08-22 10:45:00,105.23
2021-08-22 11:00:00,105.75
2021-08-22 11:15:00,105.64
2021-08-22 11:30:00,105.28
2021-08-22 11:45:00,105.38
2021-08-22 12:00:00,206.0
2021-08-22 12:15:00,235.0
2021-08-22 12:30:00,318.0
2021-08-22 12:45:00,315.0
2021-08-22 13:00:00,331.0
2021-08-22 13:15:00,408.0
2021-08-22 13:30:00,367.0
2021-08-22 13:45:00,315.0
2021-08-22 14:00:00,227.0
2021-08-22 14:15:00,103.33
2021-08-22 14:30:00,105.47
2021-08-22 14:45:00,105.58
2021-08-22 15:00:00,105.36
2021-08-22 15:15:00,174.0
2021-08-22 15:30:00,248.0
2021-08-22 15:45:00,239.0
2021-08-22 16:00:00,218.0
2021-08-22 16:15:00,204.0
2021-08-22 16:30:00,225.0
2021-08-22 16:45:00,221.0
2021-08-22 17:00:00,180.0
2021-08-22 17:15:00,164.0
2021-08-22 17:30:00,141.43
2021-08-22 17:45:00,109.88
2021-08-22 18:00:00,105.45
2021-08-22 18:15:00,357.0
2021-08-22 18:30:00,372.0
2021-08-22 18:45:00,385.0
2021-08-22 19:00:00,235.0
2021-08-22 19:15:00,122.46
2021-08-22 19:30:00,98.14
2021-08-22 19:45:00,107.1
2021-08-22 20:00:00,104.14
2021-08-22 20:15:00,105.3
2021-08-22 20:30:00,106.12
2021-08-22 20:45:00,106.18
2021-08-22 21:00:00,105.19
2021-08-22 21:15:00,105.28
2021-08-22 21:30:00,104.84
2021-08-22 21:45:00,105.21
2021-08-22 22:00:00,105.88
2021-08-22 22:15:00,105.36
2021-08-22 22:30:00,104.86
2021-08-22 22:45:00,106.55
2021-08-22 23:00:00,106.8
2021-08-22 23:15:00,103.0
2021-08-22 23:30:00,103.77
2021-08-22 23:45:00,103.11
2021-08-23 00:00:00,103.57
2021-08-23 00:15:00,104.54
2021-08-23 00:30:00,104.75
2021-08-23 00:45:00,104.54
2021-08-23 01:00:00,104.36
2021-08-23 01:15:00,105.3
2021-08-23 01:30:00,103.68
2021-08-23 01:45:00,105.13
2021-08-23 02:00:00,104.78
2021-08-23 02:15:00,105.64
2021-08-23 02:30:00,105.95
2021-08-23 02:45:00,104.21
2021-08-23 03:00:00,104.69
2021-08-23 03:15:00,105.06
2021-08-23 03:30:00,104.93
2021-08-23 03:45:00,105.38
2021-08-23 04:00:00,104.71
2021-08-23 04:15:00,105.1
2021-08-23 04:30:00,105.47
2021-08-23 04:45:00,104.3
2021-08-23 05:00:00,104.49
2021-08-23 05:15:00,103.99
2021-08-23 05:30:00,104.25
2021-08-23 05:45:00,105.19
2021-08-23 06:00:00,105.06
2021-08-23 06:15:00,103.42
2021-08-23 06:30:00,103.86
2021-08-23 06:45:00,103.33
2021-08-23 07:00:00,104.54
2021-08-23 07:15:00,278.0
2021-08-23 07:30:00,360.0
2021-08-23 07:45:00,408.0
2021-08-23 08:00:00,171.0
2021-08-23 08:15:00,71.26
2021-08-23 08:30:00,100.89
2021-08-23 08:45:00,105.54
2021-08-23 09:00:00,106.29
2021-08-23 09:15:00,105.45
2021-08-23 09:30:00,105.6
2021-08-23 09:45:00,105.43
2021-08-23 10:00:00,106.4
2021-08-23 10:15:00,104.67
2021-08-23 10:30:00,104.6
2021-08-23 10:45:00,104.01
2021-08-23 11:00:00,104.78
2021-08-23 11:15:00,103.97
2021-08-23 11:30:00,102.62
2021-08-23 11:45:00,107.4
