datetime,1B-Th-Chilled Water
2021-08-18 23:30:00,-5.026962758567436
2021-08-18 23:45:00,-4.869223103215145
2021-08-19 00:00:00,-4.606008849107981
2021-08-19 00:15:00,-4.454373702649966
2021-08-19 00:30:00,-4.306623091230001
2021-08-19 00:45:00,-4.065974450502879
2021-08-19 01:00:00,-21.957666222698297
2021-08-19 01:15:00,-2007.961561934113
2021-08-19 01:30:00,-1228.3449478242112
2021-08-19 01:45:00,-1237.2766396384409
2021-08-19 02:00:00,-1284.8743697412956
2021-08-19 02:15:00,-1230.6677800063346
2021-08-19 02:30:00,-1199.6091451088334
2021-08-19 02:45:00,-1291.76386727301
2021-08-19 03:00:00,-1346.587075694493
2021-08-19 03:15:00,-1307.77302341373
2021-08-19 03:30:00,-1329.19774715757
2021-08-19 03:45:00,-1343.6058566673566
2021-08-19 04:00:00,-1286.4241031211557
2021-08-19 04:15:00,-1325.314452496145
2021-08-19 04:30:00,-1227.011502724586
2021-08-19 04:45:00,-1154.4779454098723
2021-08-19 05:00:00,-1079.9734628935255
2021-08-19 05:15:00,-1150.8721557552997
2021-08-19 05:30:00,-1043.327745333098
2021-08-19 05:45:00,-1051.9509240562347
2021-08-19 06:00:00,-1018.1226173458656
2021-08-19 06:15:00,-1143.2920624189253
2021-08-19 06:30:00,-1533.687181309061
2021-08-19 06:45:00,-1440.8567062635236
2021-08-19 07:00:00,-1082.8522859640227
2021-08-19 07:15:00,-1353.3319444870674
2021-08-19 07:30:00,-2082.3229607251487
2021-08-19 07:45:00,-2086.515740920684
2021-08-19 08:00:00,-2426.79491593737
2021-08-19 08:15:00,-2077.604132007766
2021-08-19 08:30:00,-2120.959263906597
2021-08-19 08:45:00,-1896.5905945118825
2021-08-19 09:00:00,-1672.9716638789555
2021-08-19 09:15:00,-1399.3597730883762
2021-08-19 09:30:00,-1440.422426135505
2021-08-19 09:45:00,-1396.9320033284707
2021-08-19 10:00:00,-1375.226369381534
2021-08-19 10:15:00,-1328.8472264655404
2021-08-19 10:30:00,-1386.3097146057428
2021-08-19 10:45:00,-1579.215002761627
2021-08-19 11:00:00,-1604.4544772923944
2021-08-19 11:15:00,-1959.5913993181484
2021-08-19 11:30:00,-1767.9248219816284
2021-08-19 11:45:00,-1489.4857526587905
2021-08-19 12:00:00,-1790.4000355395967
2021-08-19 12:15:00,-1613.5249231233445
2021-08-19 12:30:00,-1670.0360086511112
2021-08-19 12:45:00,-1697.519691129879
2021-08-19 13:00:00,-1899.9848495022609
2021-08-19 13:15:00,-1812.2041134948404
2021-08-19 13:30:00,-1761.283342357787
2021-08-19 13:45:00,-1816.3920610632752
2021-08-19 14:00:00,-1880.0682551030577
2021-08-19 14:15:00,-1547.0055592029832
2021-08-19 14:30:00,-1544.3565262921309
2021-08-19 14:45:00,-1689.3250385863962
2021-08-19 15:00:00,-1625.926841308661
2021-08-19 15:15:00,-1629.0323697843148
2021-08-19 15:30:00,-1726.1179863901689
2021-08-19 15:45:00,-1612.4504851920808
2021-08-19 16:00:00,-1567.7854692969047
2021-08-19 16:15:00,-1531.1823616822185
2021-08-19 16:30:00,-1573.4845221952148
2021-08-19 16:45:00,-1545.1979419613235
2021-08-19 17:00:00,-1440.0084163380152
2021-08-19 17:15:00,-1481.175349043414
2021-08-19 17:30:00,-1518.121983249133
2021-08-19 17:45:00,-225.9138751888587
2021-08-19 18:00:00,-4.071250964795399
2021-08-19 18:15:00,-3.71459429443433
2021-08-19 18:30:00,-12.7772881011757
2021-08-19 18:45:00,-917.2696917482472
2021-08-19 19:00:00,-873.2214447397384
2021-08-19 19:15:00,-1222.0651293263943
2021-08-19 19:30:00,-1138.8845915194538
2021-08-19 19:45:00,-1106.2652749638469
2021-08-19 20:00:00,-1202.4864985416775
2021-08-19 20:15:00,-1185.1665083098972
2021-08-19 20:30:00,-1074.5960570372351
2021-08-19 20:45:00,-1080.5813504711423
2021-08-19 21:00:00,-1120.0232850909647
2021-08-19 21:15:00,-978.6071762220076
2021-08-19 21:30:00,-1338.6784872104513
2021-08-19 21:45:00,
2021-08-19 22:00:00,-741.5001269177134
2021-08-19 22:15:00,-1081.002641080531
2021-08-19 22:30:00,-1047.312237483406
2021-08-19 22:45:00,-1039.9309801966165
2021-08-19 23:00:00,-1017.125987961803
2021-08-19 23:15:00,-1115.3846469837306
2021-08-19 23:30:00,-1161.1268024129297
2021-08-19 23:45:00,-1090.6169640398366
2021-08-20 00:00:00,-1080.4849426073324
2021-08-20 00:15:00,-1186.027905425379
2021-08-20 00:30:00,-1252.8226614417188
2021-08-20 00:45:00,-1031.9805423232642
2021-08-20 01:00:00,-1089.1146082485568
2021-08-20 01:15:00,-4.946590652105215
2021-08-20 01:30:00,-4.639347624453921
2021-08-20 01:45:00,-4.167040995966686
2021-08-20 02:00:00,-3.979114182462405
2021-08-20 02:15:00,-3.6542494502681233
2021-08-20 02:30:00,-3.429880954558442
2021-08-20 02:45:00,-3.285450668187189
2021-08-20 03:00:00,-3.1320838227112966
2021-08-20 03:15:00,-3.0707528750413
2021-08-20 03:30:00,-2.9375569718424184
2021-08-20 03:45:00,-2.7679754161247865
2021-08-20 04:00:00,-2.706909566867756
2021-08-20 04:15:00,-2.638024677475112
2021-08-20 04:30:00,-2.5054143095346144
2021-08-20 04:45:00,-2.4161035493482084
2021-08-20 05:00:00,-2.3310338433337288
2021-08-20 05:15:00,-2.263362473604305
2021-08-20 05:30:00,-2.162727951200856
2021-08-20 05:45:00,-2.10554861774958
2021-08-20 06:00:00,-2.054765788841046
2021-08-20 06:15:00,-1.99148725655538
2021-08-20 06:30:00,-1.9328826468888003
2021-08-20 06:45:00,-1.8555282612397817
2021-08-20 07:00:00,-1.81306862286654
2021-08-20 07:15:00,-1.723899604674225
2021-08-20 07:30:00,-1.7196467015292722
2021-08-20 07:45:00,-1.677882249826112
2021-08-20 08:00:00,-1.568842893082165
2021-08-20 08:15:00,-1.5145516916466777
2021-08-20 08:30:00,-1.4180328477062831
2021-08-20 08:45:00,-1.3563337374955924
2021-08-20 09:00:00,-1.2509137782423208
2021-08-20 09:15:00,-1.1541452375044974
2021-08-20 09:30:00,-1.1422816207110114
2021-08-20 09:45:00,-1.190189811406842
2021-08-20 10:00:00,-1.1587230661363748
2021-08-20 10:15:00,-1.136324051577119
2021-08-20 10:30:00,-1.0339520529795068
2021-08-20 10:45:00,-0.8825485473799847
2021-08-20 11:00:00,-0.7274521179053149
2021-08-20 11:15:00,-0.4408878752742982
2021-08-20 11:30:00,-0.1844921247471272
2021-08-20 11:45:00,0.108283574215459
2021-08-20 12:00:00,0.3232871105064273
2021-08-20 12:15:00,0.4355140375417891
2021-08-20 12:30:00,0.5235110643751938
2021-08-20 12:45:00,-961.002740755406
2021-08-20 13:00:00,-134.74378829568963
2021-08-20 13:15:00,-121.9949666259689
2021-08-20 13:30:00,-16.92155116979749
2021-08-20 13:45:00,-7.359537532923154
2021-08-20 14:00:00,-7.03132555371716
2021-08-20 14:15:00,-6.641458831489991
2021-08-20 14:30:00,-6.203834215300663
2021-08-20 14:45:00,-5.945644801151849
2021-08-20 15:00:00,-5.709026173598146
2021-08-20 15:15:00,-5.654071238774084
2021-08-20 15:30:00,-5.494660560286084
2021-08-20 15:45:00,-5.10924131696222
2021-08-20 16:00:00,-4.940205501671258
2021-08-20 16:15:00,-4.68160559707279
2021-08-20 16:30:00,-4.447955396627834
2021-08-20 16:45:00,-4.198098369496225
2021-08-20 17:00:00,-3.9550750026719856
2021-08-20 17:15:00,-3.783719480540396
2021-08-20 17:30:00,-3.5976896997663013
2021-08-20 17:45:00,-3.5174014032683565
2021-08-20 18:00:00,-3.421113003434107
2021-08-20 18:15:00,-3.3073044044610107
2021-08-20 18:30:00,-3.122909178178853
2021-08-20 18:45:00,-3.0185499298400043
2021-08-20 19:00:00,-2.9264834632426755
2021-08-20 19:15:00,-2.8604262349297107
2021-08-20 19:30:00,-2.8062156441117407
2021-08-20 19:45:00,-2.779962230123374
2021-08-20 20:00:00,-2.703609428465096
2021-08-20 20:15:00,-2.591639964544681
2021-08-20 20:30:00,-2.5771135022931992
2021-08-20 20:45:00,-2.531702715935098
2021-08-20 21:00:00,-2.5106448196491016
2021-08-20 21:15:00,-2.462437464021688
2021-08-20 21:30:00,-2.432690146640451
2021-08-20 21:45:00,-2.3348629335615354
2021-08-20 22:00:00,-2.30144459064926
2021-08-20 22:15:00,-2.209312798530294
2021-08-20 22:30:00,-2.193315693336776
2021-08-20 22:45:00,-2.1522100281395966
2021-08-20 23:00:00,-2.144662443578256
2021-08-20 23:15:00,-2.1402550909820595
2021-08-20 23:30:00,
2021-08-20 23:45:00,-2.040284065834118
2021-08-21 00:00:00,-1.9899673130507072
2021-08-21 00:15:00,-1.9547423929762124
2021-08-21 00:30:00,-1.9418602172122
2021-08-21 00:45:00,-1.873692822858737
2021-08-21 01:00:00,-1.8354183728339768
2021-08-21 01:15:00,-1.8395735778157525
2021-08-21 01:30:00,-1.819021158815068
2021-08-21 01:45:00,-1.7936841415623723
2021-08-21 02:00:00,-1.74142603781193
2021-08-21 02:15:00,-1.7171586585864138
2021-08-21 02:30:00,-1.7117249231154157
2021-08-21 02:45:00,-1.7016696428215028
2021-08-21 03:00:00,-1.6348520807006934
2021-08-21 03:15:00,-1.6051637006547468
2021-08-21 03:30:00,-1.5999046146178713
2021-08-21 03:45:00,-1.5800502879698342
2021-08-21 04:00:00,-1.5368254147755875
2021-08-21 04:15:00,-1.5075254684360342
2021-08-21 04:30:00,-1.5033498677306292
2021-08-21 04:45:00,-1.4839335364382098
2021-08-21 05:00:00,-1.4369941221639084
2021-08-21 05:15:00,-1.3838277821225446
2021-08-21 05:30:00,-1.3750323587441913
2021-08-21 05:45:00,-1.3473074842010473
2021-08-21 06:00:00,-1.3047919253657068
2021-08-21 06:15:00,-1.3119747252750191
2021-08-21 06:30:00,-1.2927558307730338
2021-08-21 06:45:00,-1.270128942156419
2021-08-21 07:00:00,-1.241849966597817
2021-08-21 07:15:00,-1.191784110411109
2021-08-21 07:30:00,-1.1659817822714005
2021-08-21 07:45:00,-1.1406001745482957
2021-08-21 08:00:00,-1.114983974005794
2021-08-21 08:15:00,-1.0841362719649028
2021-08-21 08:30:00,-1.0509686329808052
2021-08-21 08:45:00,-1.0078390649850577
2021-08-21 09:00:00,-0.9541872243239748
2021-08-21 09:15:00,-0.9283707015027924
2021-08-21 09:30:00,-0.8696007159389443
2021-08-21 09:45:00,-0.83151514463454
2021-08-21 10:00:00,-0.8006789706736049
2021-08-21 10:15:00,-0.7606096908316663
2021-08-21 10:30:00,-0.7128273945903357
2021-08-21 10:45:00,-0.6613260777136799
2021-08-21 11:00:00,-0.5986965417646996
2021-08-21 11:15:00,-0.5800881286544095
2021-08-21 11:30:00,-0.5854054644056045
