datetime,1A-Th-Chilled Water
2021-08-19 21:00:00,0.1813273886031849
2021-08-19 21:15:00,0.1693320085578395
2021-08-19 21:30:00,0.1615352796730646
2021-08-19 21:45:00,
2021-08-19 22:00:00,0.1396431713912411
2021-08-19 22:15:00,0.1346096665051723
2021-08-19 22:30:00,0.1239185699397508
2021-08-19 22:45:00,0.1170031247358091
2021-08-19 23:00:00,0.1094670984901545
2021-08-19 23:15:00,0.1044725836434126
2021-08-19 23:30:00,0.0995314471181806
2021-08-19 23:45:00,0.0892732576266448
2021-08-20 00:00:00,0.0822328147041483
2021-08-20 00:15:00,0.0806980183681841
2021-08-20 00:30:00,0.0760338484520141
2021-08-20 00:45:00,0.072579034929126
2021-08-20 01:00:00,0.0677845318314094
2021-08-20 01:15:00,0.0637016529715557
2021-08-20 01:30:00,0.0604816538855407
2021-08-20 01:45:00,0.0590934679764804
2021-08-20 02:00:00,0.056204372813376
2021-08-20 02:15:00,0.0535900286180081
2021-08-20 02:30:00,0.0517091317479263
2021-08-20 02:45:00,0.0517872071229369
2021-08-20 03:00:00,0.0492715701338115
2021-08-20 03:15:00,0.0515608451471196
2021-08-20 03:30:00,0.0526699322819451
2021-08-20 03:45:00,0.0561673113140181
2021-08-20 04:00:00,0.0575605826962766
2021-08-20 04:15:00,0.0596746550325257
2021-08-20 04:30:00,0.0589490564128318
2021-08-20 04:45:00,0.0606896289498242
2021-08-20 05:00:00,0.0613644887870913
2021-08-20 05:15:00,0.0599367326836726
2021-08-20 05:30:00,0.0597743706147328
2021-08-20 05:45:00,0.0589640230346645
2021-08-20 06:00:00,0.0590847505637527
2021-08-20 06:15:00,0.0632899565819813
2021-08-20 06:30:00,0.0614184542677985
2021-08-20 06:45:00,0.0622305484711792
2021-08-20 07:00:00,0.0614322252095036
2021-08-20 07:15:00,0.0606036119609913
2021-08-20 07:30:00,0.0570239397687252
2021-08-20 07:45:00,0.0542450670104477
2021-08-20 08:00:00,0.0541516249239415
2021-08-20 08:15:00,0.0471714594523569
2021-08-20 08:30:00,0.0440924759653878
2021-08-20 08:45:00,-2103.263723770417
2021-08-20 09:00:00,-78.76971094557403
2021-08-20 09:15:00,-1739.8154403498404
2021-08-20 09:30:00,-1650.9367595538597
2021-08-20 09:45:00,-1482.0664645739685
2021-08-20 10:00:00,-1780.679848069
2021-08-20 10:15:00,-1476.2926021336043
2021-08-20 10:30:00,-1662.3321356934075
2021-08-20 10:45:00,-1545.7746204208308
2021-08-20 11:00:00,-1674.50053756054
2021-08-20 11:15:00,-1759.3871547809774
2021-08-20 11:30:00,-1785.6381261726835
2021-08-20 11:45:00,-1455.0701613780518
2021-08-20 12:00:00,-1730.331245102518
2021-08-20 12:15:00,-1868.3095955347208
2021-08-20 12:30:00,-1960.862153557191
2021-08-20 12:45:00,-2173.2308306053505
2021-08-20 13:00:00,-1769.0900358465326
2021-08-20 13:15:00,-1803.2570701289385
2021-08-20 13:30:00,-1760.6752249314764
2021-08-20 13:45:00,-1522.6233515106785
2021-08-20 14:00:00,-2000.696593933791
2021-08-20 14:15:00,-1523.0948910285651
2021-08-20 14:30:00,-1734.938502011722
2021-08-20 14:45:00,-1611.06888189152
2021-08-20 15:00:00,-1750.1171586444534
2021-08-20 15:15:00,-1503.8873117189596
2021-08-20 15:30:00,-1474.2881785082152
2021-08-20 15:45:00,-1746.2374569158906
2021-08-20 16:00:00,-1421.507295643506
2021-08-20 16:15:00,-1672.529257873858
2021-08-20 16:30:00,-1380.883574565149
2021-08-20 16:45:00,-1642.3560671939088
2021-08-20 17:00:00,-1444.889306121613
2021-08-20 17:15:00,-1640.1623622815823
2021-08-20 17:30:00,-1428.5930115096023
2021-08-20 17:45:00,-1690.6643158897964
2021-08-20 18:00:00,-1366.6171313903376
2021-08-20 18:15:00,-1536.9605493618085
2021-08-20 18:30:00,-1592.641817937245
2021-08-20 18:45:00,-1279.1030787240916
2021-08-20 19:00:00,-1584.8439805371484
2021-08-20 19:15:00,-1338.4537129148264
2021-08-20 19:30:00,-1128.6208722837212
2021-08-20 19:45:00,-1391.85991979515
2021-08-20 20:00:00,-1234.761494695911
2021-08-20 20:15:00,-984.0450492106428
2021-08-20 20:30:00,-1281.7419507052878
2021-08-20 20:45:00,-1029.3432203436612
2021-08-20 21:00:00,-1048.8611194563148
2021-08-20 21:15:00,-1147.073431994435
2021-08-20 21:30:00,-1063.4027867979976
2021-08-20 21:45:00,-1217.1199042068313
2021-08-20 22:00:00,-1148.043925111964
2021-08-20 22:15:00,-14.391791613061088
2021-08-20 22:30:00,0.107931024821154
2021-08-20 22:45:00,0.0962821077253826
2021-08-20 23:00:00,0.0811548394983978
2021-08-20 23:15:00,0.0748713589779744
2021-08-20 23:30:00,
2021-08-20 23:45:00,0.0541984836121853
2021-08-21 00:00:00,0.0477600341840666
2021-08-21 00:15:00,0.0423078906298725
2021-08-21 00:30:00,0.0359724987829657
2021-08-21 00:45:00,0.0309652835259639
2021-08-21 01:00:00,0.025927983193755
2021-08-21 01:15:00,0.0231301884983481
2021-08-21 01:30:00,0.0200805032465231
2021-08-21 01:45:00,0.0165145414725684
2021-08-21 02:00:00,0.014964029897696
2021-08-21 02:15:00,0.013563268034543
2021-08-21 02:30:00,0.0117186226691998
