datetime,1B-OAT-1
2021-08-21 17:00:00,17.3741
2021-08-21 17:15:00,15.8083
2021-08-21 17:30:00,16.4628
2021-08-21 17:45:00,15.3283
2021-08-21 18:00:00,15.0139
2021-08-21 18:15:00,14.9604
2021-08-21 18:30:00,14.7434
2021-08-21 18:45:00,14.3762
2021-08-21 19:00:00,14.7203
2021-08-21 19:15:00,14.4953
2021-08-21 19:30:00,14.0261
2021-08-21 19:45:00,13.6102
2021-08-21 20:00:00,13.9689
2021-08-21 20:15:00,15.0873
2021-08-21 20:30:00,13.2418
2021-08-21 20:45:00,13.797
2021-08-21 21:00:00,13.6542
2021-08-21 21:15:00,13.7633
2021-08-21 21:30:00,12.9088
2021-08-21 21:45:00,13.6462
2021-08-21 22:00:00,12.9183
2021-08-21 22:15:00,13.1549
2021-08-21 22:30:00,14.1996
2021-08-21 22:45:00,13.6561
2021-08-21 23:00:00,12.0737
2021-08-21 23:15:00,13.2881
2021-08-21 23:30:00,13.6388
2021-08-21 23:45:00,13.2926
2021-08-22 00:00:00,12.2086
2021-08-22 00:15:00,13.0208
2021-08-22 00:30:00,13.586
2021-08-22 00:45:00,14.2095
2021-08-22 01:00:00,13.6528
2021-08-22 01:15:00,13.4906
2021-08-22 01:30:00,13.496
2021-08-22 01:45:00,13.6516
2021-08-22 02:00:00,13.5929
2021-08-22 02:15:00,13.6592
2021-08-22 02:30:00,12.6363
2021-08-22 02:45:00,13.4627
2021-08-22 03:00:00,13.8859
2021-08-22 03:15:00,13.9656
2021-08-22 03:30:00,13.4856
2021-08-22 03:45:00,13.7627
2021-08-22 04:00:00,12.8304
2021-08-22 04:15:00,13.8687
2021-08-22 04:30:00,13.7099
2021-08-22 04:45:00,13.4748
2021-08-22 05:00:00,13.3682
2021-08-22 05:15:00,13.3876
2021-08-22 05:30:00,13.3965
2021-08-22 05:45:00,12.9473
2021-08-22 06:00:00,13.1274
2021-08-22 06:15:00,13.5564
2021-08-22 06:30:00,13.4045
2021-08-22 06:45:00,12.7424
2021-08-22 07:00:00,13.5113
2021-08-22 07:15:00,13.2396
2021-08-22 07:30:00,13.1076
2021-08-22 07:45:00,13.2044
2021-08-22 08:00:00,13.619
2021-08-22 08:15:00,13.7806
2021-08-22 08:30:00,14.8528
2021-08-22 08:45:00,14.3851
2021-08-22 09:00:00,14.6403
2021-08-22 09:15:00,15.2928
2021-08-22 09:30:00,14.4288
2021-08-22 09:45:00,14.5315
2021-08-22 10:00:00,16.0864
2021-08-22 10:15:00,16.0133
2021-08-22 10:30:00,17.2006
2021-08-22 10:45:00,16.0046
2021-08-22 11:00:00,16.7286
2021-08-22 11:15:00,16.4411
2021-08-22 11:30:00,17.4487
2021-08-22 11:45:00,16.9413
2021-08-22 12:00:00,17.4358
2021-08-22 12:15:00,16.663
2021-08-22 12:30:00,17.1812
2021-08-22 12:45:00,17.5528
2021-08-22 13:00:00,18.7596
2021-08-22 13:15:00,17.9258
2021-08-22 13:30:00,20.0494
2021-08-22 13:45:00,19.0567
2021-08-22 14:00:00,19.7258
2021-08-22 14:15:00,19.1094
2021-08-22 14:30:00,19.7333
2021-08-22 14:45:00,19.7735
2021-08-22 15:00:00,20.472
2021-08-22 15:15:00,20.4911
2021-08-22 15:30:00,19.3113
2021-08-22 15:45:00,19.5688
2021-08-22 16:00:00,19.2566
2021-08-22 16:15:00,19.0595
2021-08-22 16:30:00,20.6811
2021-08-22 16:45:00,19.9586
2021-08-22 17:00:00,19.831
2021-08-22 17:15:00,18.2964
2021-08-22 17:30:00,18.6846
2021-08-22 17:45:00,18.8532
2021-08-22 18:00:00,18.3105
2021-08-22 18:15:00,18.2207
2021-08-22 18:30:00,16.9205
2021-08-22 18:45:00,16.1666
2021-08-22 19:00:00,15.9861
2021-08-22 19:15:00,15.0343
2021-08-22 19:30:00,15.038
2021-08-22 19:45:00,14.6177
2021-08-22 20:00:00,14.0787
2021-08-22 20:15:00,14.0251
2021-08-22 20:30:00,14.1864
2021-08-22 20:45:00,14.2213
2021-08-22 21:00:00,14.2723
2021-08-22 21:15:00,13.9827
2021-08-22 21:30:00,13.6137
2021-08-22 21:45:00,13.7967
2021-08-22 22:00:00,13.3261
2021-08-22 22:15:00,13.359
2021-08-22 22:30:00,13.0247
2021-08-22 22:45:00,13.7147
2021-08-22 23:00:00,13.4437
2021-08-22 23:15:00,13.6081
2021-08-22 23:30:00,13.4878
2021-08-22 23:45:00,13.0312
2021-08-23 00:00:00,13.6342
2021-08-23 00:15:00,13.4605
2021-08-23 00:30:00,13.7539
2021-08-23 00:45:00,13.5179
2021-08-23 01:00:00,13.1334
2021-08-23 01:15:00,13.0232
2021-08-23 01:30:00,12.2516
2021-08-23 01:45:00,13.4228
